borrower_id,cluster_id,annual_revenue,dti_ratio,dscr,dpd_last_6m,repayment_consistency,default
2762,2,5,0.61,2.61,0,0.8,0
2763,2,40.29,0.26,1.1,0,0.67,0
2764,1,96.26,0.33,2.36,2,0.75,0
2765,2,58.19,0.13,1.06,0,0.81,0
2766,0,5,0.47,1.53,8,0.74,0
2767,1,62.71,0.42,2.37,3,0.62,1
2768,2,88.42,0.53,0.96,1,0.94,0
2769,3,19.67,0.5,0.9,12,0.48,0
2770,0,43.53,0.49,0.81,0,1,0
2771,2,44.47,0.34,0.76,0,0.71,1
2772,3,53.65,0.63,1.37,16,0.78,0
2773,1,53.42,0.56,0.96,3,0.57,0
2774,3,68.95,0.53,1.55,23,0.74,0
2775,2,46.2,0.42,0.85,1,0.9,1
2776,0,87,0.69,1.35,0,0.73,0
2777,1,5,0.53,0.9,3,0.99,1
2778,1,15.52,0.49,1.69,8,0.58,1
2779,0,94.6,0.15,1.46,7,0.69,0
2780,3,35.68,0.66,1.66,18,0.88,1
2781,0,66.69,0.94,1.37,1,0.79,1
2782,0,46.07,0.36,1.23,8,0.83,0
2783,3,78.35,0.36,1.57,14,0.89,0
2784,0,62.4,0.35,0.84,0,0.79,0
2785,0,129.13,0.38,1.02,8,0.89,1
2786,2,49.28,0.3,1.93,9,0.61,0
2787,0,37.47,0.8,1.8,5,0.81,0
2788,0,88.34,0.6,1.59,0,0.62,0
2789,2,70.4,0.49,0.74,8,0.46,0
2790,1,25.72,0.61,0.98,0,0.87,1
2791,0,76.22,0.6,2.04,0,0.38,1
2792,0,56.08,0.27,1.54,0,0.9,0
2793,1,52.61,0.41,1.24,16,0.72,1
2794,0,63.09,0.5,1.93,0,0.6,0
2795,1,74.34,0.58,2.27,8,0.82,1
2796,1,55.7,0.57,1.87,4,0.6,0
2797,0,42.09,0.45,1.81,5,0.92,0
2798,2,112.66,0.06,1.28,0,0.73,0
2799,3,48.8,0.15,1.9,22,0.66,1
2800,3,90.11,0.35,2.22,12,0.67,0
2801,2,33.13,0.66,1.4,0,0.64,0
2802,3,24.62,0.46,1.16,26,0.82,0
2803,2,79.1,0.43,1.39,0,0.63,0
2804,0,42.39,0.32,1.47,3,0.59,0
2805,2,5,0.41,0.72,3,0.56,1
2806,1,43.85,0.62,1.9,2,0.59,1
2807,3,65.21,0.44,1.5,11,0.52,1
2808,0,29.11,0.48,0.71,0,0.59,0
2809,0,25.43,0.05,1.41,6,1,0
2810,2,55.8,0.21,0.91,0,1,0
2811,3,15.77,0.61,1.02,18,0.96,0
2812,3,59.21,0.47,2.37,13,0.74,1
2813,2,81.06,0.4,1.58,0,0.76,0
2814,1,89.02,0.27,1.19,10,0.61,1
2815,2,30.47,0.3,0.54,0,0.6,0
2816,2,103.39,0.4,1.55,9,0.73,1
2817,3,67.62,0.35,1.42,13,0.52,0
2818,2,29.85,0.52,1.23,0,0.83,0
2819,3,37.35,0.66,1.08,20,1,0
2820,0,29.05,0.63,2.04,6,0.64,1
2821,1,5,0.21,1.95,10,0.64,1
2822,2,92.63,0.51,1.7,2,0.43,0
2823,0,56.5,0.75,0.53,7,0.75,0
2824,0,69.5,0.49,1.29,7,0.81,0
2825,3,52.98,0.64,2.13,11,0.72,0
2826,0,5,0.72,1.16,3,0.76,0
2827,0,60.37,0.5,1.05,1,1,0
2828,0,78.68,0.32,0.99,5,0.6,0
2829,1,78.48,0.52,2.06,8,0.69,1
2830,1,82.77,0.17,0.67,6,0.74,1
2831,1,51.51,0.5,1.38,10,0.81,0
2832,3,5,0.54,0.59,23,0.68,1
2833,2,70.37,0.05,1.58,0,0.82,1
2834,0,52.14,0.05,2.52,7,0.85,0
2835,1,109.84,0.61,1.4,0,0.89,0
2836,0,106.85,0.11,1.28,0,0.68,1
2837,0,83.01,0.22,1.19,2,0.79,0
2838,3,8.7,0.52,1.33,22,0.9,0
2839,2,16.74,0.25,1.52,5,0.49,1
2840,2,65.67,0.44,1.73,8,0.4,0
2841,3,15.04,0.59,1.27,21,0.72,0
2842,1,76.53,0.58,1.67,7,0.86,0
2843,0,77.77,0.61,1.35,5,0.7,0
2844,2,96.83,0.52,1.79,0,0.64,1
2845,2,82.8,0.67,1.86,2,0.88,0
2846,0,38.38,0.33,1.16,8,0.53,1
2847,1,48.07,0.42,1.78,5,0.78,0
2848,2,24.58,0.43,1.64,0,0.68,0
2849,2,58.02,0.05,1.99,0,1,0
2850,1,5,0.45,1.8,13,0.63,1
2851,3,41.21,0.66,1.11,23,0.96,0
2852,0,70.97,0.51,2.56,0,0.46,0
2853,0,68.5,0.59,1.49,3,0.91,0
2854,0,76.03,0.41,1.15,0,0.84,0
2855,1,18.22,0.62,1.86,2,0.82,0
2856,2,11.48,0.3,1.63,1,0.61,0
2857,3,67.88,0.5,1.06,11,1,0
2858,0,21.36,0.9,1.52,5,0.7,1
2859,1,14.86,0.62,2.45,5,0.86,0
2860,0,56.43,0.43,0.99,4,0.73,0
2861,0,49.19,0.19,0.99,0,0.6,0
2862,0,121.66,0.73,2.44,0,0.78,0
2863,0,61.16,0.84,0.79,3,0.89,0
2864,2,55.2,0.85,0.88,0,0.68,1
2865,3,33.25,0.55,1.39,12,1,1
2866,2,74.81,0.05,1.42,0,0.55,0
2867,2,49.1,0.34,2.25,5,0.64,0
2868,3,34.43,0.75,2.28,24,0.7,1
2869,1,43.75,0.46,2.37,4,0.59,0
2870,3,39.98,0.5,1.97,15,0.76,0
2871,0,47.6,0.43,0.98,0,0.91,0
2872,2,117.62,0.47,0.78,5,0.55,1
2873,2,69.25,0.25,1.46,0,0.61,0
2874,2,44.48,0.17,1.03,0,0.77,0
2875,1,48.29,0.06,1.07,0,0.68,0
2876,2,8.17,0.39,1.14,4,0.49,0
2877,3,5,0.12,1.55,15,1,1
2878,0,72.36,0.77,2,0,0.43,0
2879,1,71.75,0.44,0.81,0,0.52,0
2880,0,62.16,0.33,1.5,7,0.91,0
2881,1,94.59,0.56,2.36,0,0.7,1
2882,0,56.57,0.33,0.44,0,1,1
2883,2,74.48,0.81,2.07,4,0.92,0
2884,3,47.79,0.48,0.3,21,0.51,1
2885,0,5,0.56,1.13,6,0.82,0
2886,1,84.98,0.59,0.76,9,0.64,1
2887,0,20.9,0.23,1.43,8,0.75,0
2888,2,57.76,0.05,1.75,12,0.62,1
2889,0,28.9,0.7,1.83,0,0.82,0
2890,1,57.99,0.61,0.91,0,0.81,1
2891,0,100.09,0.7,1.13,0,1,1
2892,0,67.94,0.33,1.18,0,1,0
2893,0,74.44,0.72,0.87,1,0.31,1
2894,0,44.74,0.85,0.88,0,0.93,0
2895,2,41.44,0.34,2.23,6,1,0
2896,1,40.95,0.46,1.09,10,0.78,1
2897,1,72.93,0.65,1.27,0,0.74,1
2898,3,50.9,0.66,2.75,12,1,0
2899,2,70.75,0.89,2.23,3,0.6,0
2900,0,44.68,0.61,0.97,0,0.78,1
2901,3,80.46,0.41,1.26,14,0.99,0
2902,3,70.86,0.58,0.4,14,0.82,1
2903,2,53.38,0.12,1.79,1,0.68,0
2904,2,70.44,0.74,2.03,0,0.77,0
2905,0,81.01,0.42,1.4,5,0.76,1
2906,0,105.6,0.32,1.36,7,0.88,0
2907,2,28.95,0.28,1.8,0,0.72,0
2908,3,76.46,0.38,2.17,14,0.59,0
2909,2,70.6,0.16,2.04,6,0.38,0
2910,2,77.79,0.4,1.43,2,0.85,0
2911,2,36.03,0.39,1.88,0,0.8,0
2912,3,53.09,0.32,1.17,10,0.4,1
2913,3,35.9,0.41,2.06,19,1,0
2914,0,60.53,0.46,0.48,0,0.81,0
2915,2,24.09,0.29,0.3,0,0.78,1
2916,2,90.89,0.54,1.68,3,0.76,0
2917,0,54.16,0.33,1.21,7,0.8,0
2918,1,101.76,0.32,0.56,2,0.66,1
2919,0,30.2,0.66,1.23,1,0.98,1
2920,1,56.04,0.56,0.99,2,0.74,1
2921,2,53.09,0.78,1.07,3,0.71,0
2922,0,69.97,0.49,1.46,0,0.71,0
2923,3,72.74,0.5,1.62,23,0.51,0
2924,1,10.09,0.63,2.2,8,0.66,1
2925,0,85.64,0.28,1.51,0,0.69,0
2926,2,76.75,0.36,0.64,5,0.73,0
2927,1,5.11,0.68,1.2,6,0.66,1
2928,1,93.22,0.51,0.3,0,0.51,1
2929,0,12.12,0.24,1.84,4,1,1
2930,3,58.32,0.74,1.21,15,0.54,0
2931,1,41.13,0.25,1.74,0,0.74,0
2932,2,44.59,0.56,1.73,0,0.68,0
2933,0,39.71,0.45,1.47,2,0.59,0
2934,3,65.71,0.18,1.82,14,0.78,1
2935,0,23.41,0.42,1.27,0,0.54,0
2936,0,78.22,0.56,1.91,5,0.58,0
2937,0,66.06,0.48,0.83,3,0.97,0
2938,0,45.15,0.4,1.94,1,0.82,0
2939,1,76.34,0.41,1.63,4,0.98,0
2940,1,34.77,0.58,1.09,0,0.72,0
2941,0,48.77,0.57,1.37,8,0.69,0
2942,3,5,0.44,0.6,11,0.62,0
2943,1,33.26,0.61,0.3,5,0.61,1
2944,1,23.74,0.69,1.39,0,0.52,1
2945,0,5,0.49,1.45,1,0.6,1
2946,2,45.32,0.25,1.76,8,0.71,0
2947,1,46.58,0.54,1.69,0,1,0
2948,0,58.91,0.59,1.56,3,0.67,0
2949,2,67.32,0.52,2.17,5,0.84,1
2950,0,43.22,0.3,1.85,0,0.62,1
2951,0,64.94,0.36,1.45,6,0.91,0
2952,1,76.86,0.69,1.39,0,0.65,0
2953,3,82.94,0.61,2.27,12,0.88,0
2954,1,67.34,0.65,1.49,12,0.48,0
2955,1,64.66,0.69,1.54,0,0.71,1
2956,2,20.46,0.28,1.53,7,0.58,0
2957,2,74.27,0.17,1.89,0,0.51,0
2958,2,20.24,0.66,1,1,0.88,0
2959,2,59.67,0.05,1.43,2,0.56,0
2960,0,69.9,0.83,0.79,3,1,0
2961,1,62.94,0.48,1.02,2,0.84,1
2962,2,5,0.39,1.03,4,0.85,0
2963,3,74.15,0.37,0.87,17,0.87,0
2964,3,95.27,0.34,0.85,16,0.91,0
2965,1,5,0.54,1.72,0,0.67,0
2966,2,55.32,0.43,1.27,7,0.49,1
2967,0,44.36,0.61,0.83,0,0.91,0
2968,1,51.37,0.68,1.23,7,0.71,0
2969,2,88.53,0.39,1.6,9,0.4,0
2970,3,57.21,0.55,1.4,12,0.64,0
2971,0,20.64,0.51,1.69,0,0.63,0
2972,2,30.05,0.39,0.59,5,0.8,0
2973,0,26.76,0.26,2.11,6,0.81,0
2974,2,5,0.29,1.51,9,0.67,0
2975,1,33.53,0.68,0.96,0,0.69,0
2976,2,70.28,0.4,0.96,0,0.96,0
2977,3,59.99,0.51,1.92,17,0.77,0
2978,1,55.14,0.73,0.5,1,0.86,0
2979,1,41.34,0.33,1.54,15,1,1
2980,3,47.8,0.54,0.3,13,0.93,0
2981,1,66.19,0.53,0.52,0,0.53,1
2982,0,75.46,0.37,0.71,0,0.68,1
2983,0,59,0.46,0.61,0,0.53,1
2984,3,17.42,0.91,1.27,18,0.79,0
2985,1,37.13,0.38,1.3,0,0.6,1
2986,3,63.11,0.37,0.83,10,0.8,0
2987,2,30.07,0.3,0.84,5,0.7,0
2988,0,31.48,0.43,2.09,5,0.96,0
2989,1,70.99,0.51,1.43,7,0.92,1
2990,1,73.74,0.74,0.91,4,0.88,0
2991,1,21.2,0.49,0.76,8,0.54,1
2992,1,9.4,0.58,1.45,7,0.79,1
2993,1,13.74,0.26,1.97,0,0.6,1
2994,2,70.07,0.08,1.09,7,0.82,1
2995,1,24.68,0.64,1.71,2,0.72,0
2996,1,33.91,0.32,2.27,16,0.96,1
2997,2,13,0.05,0.78,7,0.9,0
2998,3,50.43,0.8,2.56,12,0.72,1
2999,3,42.94,0.72,1.2,18,0.89,0
3000,0,63.3,0.41,1.32,0,0.54,0
3001,2,60.28,0.3,2.32,0,0.66,1
3002,2,5,0.23,1.74,4,0.93,0
3003,0,60.58,0.42,2.12,8,0.66,1
3004,3,47.41,0.59,1.77,13,0.75,1
3005,1,86.96,0.45,0.9,0,0.57,0
3006,1,25.3,0.46,0.89,2,0.93,0
3007,3,66.49,0.82,0.77,19,0.83,1
3008,0,52.72,0.15,1.23,9,0.75,0
3009,1,24.34,0.55,1.03,6,0.76,1
3010,3,81.95,0.6,2.13,13,0.57,1
3011,2,62.03,0.42,1.48,0,0.92,0
3012,0,39.72,0.74,1.27,0,0.96,0
3013,1,23.99,0.65,2.22,0,0.76,0
3014,1,84.64,0.55,0.58,8,0.61,1
3015,0,75.77,0.36,1.86,0,0.51,0
3016,2,50.33,0.25,1.68,3,0.54,0
3017,2,49.53,0.13,1.7,1,1,0
3018,3,16.36,0.73,1.48,23,0.64,0
3019,3,91.13,0.88,2.87,14,0.88,1
3020,1,16.51,0.58,0.66,6,0.78,0
3021,0,77.15,0.49,1.02,0,0.81,0
3022,1,110.6,0.48,1.2,6,1,0
3023,0,26.95,0.51,0.68,8,0.59,1
3024,0,35.08,0.66,1.85,2,0.91,0
3025,2,26.34,0.12,1.81,2,0.76,0
3026,1,87.24,0.46,2.13,6,0.78,1
3027,2,53.89,0.36,1.63,0,0.62,1
3028,3,5.62,0.49,0.54,10,0.61,0
3029,3,17.61,0.09,2.26,15,1,1
3030,0,69.9,0.25,1.02,0,0.81,0
3031,2,27.96,0.18,1.25,4,0.64,0
3032,2,5,0.55,1.98,0,0.61,0
3033,1,66.87,0.4,1.12,0,0.67,0
3034,3,61.08,0.4,0.92,10,0.95,0
3035,1,27.24,0.61,1.05,0,1,0
3036,1,39.49,0.37,1.53,6,1,0
3037,1,40.08,0.63,1.69,0,0.51,0
3038,3,44.18,0.4,1.56,12,0.63,0
3039,1,90.95,0.62,1.3,7,0.98,1
3040,1,72.18,0.65,1.76,12,0.94,1
3041,2,67.5,0.45,1.26,2,0.8,0
3042,0,47.27,0.77,2.06,0,0.82,1
3043,3,27.14,0.29,0.76,22,0.94,1
3044,1,93.22,0.34,2.23,9,1,0
3045,3,49.55,0.05,0.41,19,0.63,0
3046,0,21.32,0.44,1.15,0,0.39,0
3047,3,140.5,0.2,1,11,0.72,0
3048,1,56.86,0.71,0.91,0,1,0
3049,1,15.87,0.42,0.83,0,0.78,1
3050,0,76.43,0.34,1.01,8,0.68,0
3051,0,78.95,0.52,1.75,6,0.78,1
3052,0,37.96,0.58,0.47,5,0.78,0
3053,1,23.19,0.19,2.34,0,0.94,1
3054,2,42.2,0.35,1.22,0,0.5,0
3055,1,70.47,0.59,1.45,6,0.67,0
3056,0,73.89,0.47,0.65,0,0.7,1
3057,3,31.73,0.64,0.54,12,1,0
3058,3,92.34,0.49,0.33,9,0.89,1
3059,3,5,0.32,1.79,17,0.74,0
3060,1,32.01,0.52,2.21,9,0.68,1
3061,2,46.39,0.61,0.53,0,0.75,0
3062,1,40.71,0.76,1.28,8,0.93,0
3063,2,34.55,0.54,0.87,0,0.47,1
3064,2,88.07,0.42,1.52,10,0.73,0
3065,3,45.79,0.33,0.88,16,0.96,0
3066,1,61.28,0.4,1.28,3,0.56,1
3067,2,59.86,0.37,1.93,2,0.66,0
3068,0,60.94,0.14,0.69,3,0.66,0
3069,0,44.97,0.32,1.06,8,0.78,1
3070,0,5,0.62,1.77,9,0.42,1
3071,2,77.07,0.12,0.73,10,0.61,1
3072,2,47.52,0.73,1.82,2,0.47,0
3073,3,35.98,0.46,1.8,19,0.59,0
3074,2,36.04,0.1,1.32,0,0.78,0
3075,2,59.14,0.18,2.02,0,0.6,0
3076,1,34.99,0.13,2.2,0,0.83,0
3077,2,43.45,0.42,1.09,3,1,0
3078,2,70.81,0.42,1.11,2,0.37,0
3079,1,56.11,0.56,1.67,1,0.8,0
3080,3,23.68,0.14,0.96,12,0.87,1
3081,3,66.5,0.6,1.01,13,0.67,1
3082,1,40.96,0.31,2.19,0,0.57,0
3083,3,75.27,0.37,0.86,14,0.69,0
3084,3,38.49,0.53,0.89,18,0.78,0
3085,0,54.49,0.43,1.4,0,0.77,0
3086,3,67.95,0.3,0.89,11,0.71,1
3087,0,24,0.56,0.86,5,0.69,1
3088,0,71.46,0.33,0.46,0,0.92,0
3089,3,101,0.44,1.06,8,0.87,0
3090,0,64.22,0.25,1.54,0,0.89,0
3091,0,56.1,0.64,1.61,5,0.58,0
3092,1,76.8,0.14,0.87,7,0.8,1
3093,1,74.93,0.16,0.94,6,0.63,1
3094,1,54.21,0.29,1.67,8,0.94,0
3095,3,21.77,0.76,2.14,12,0.57,1
3096,0,30.46,0.5,0.92,0,0.87,0
3097,3,39.09,0.44,1.87,21,0.73,0
3098,0,11.83,0.23,1.64,7,0.65,0
3099,1,91.62,0.51,1.2,1,0.62,1
3100,3,21.98,0.37,0.99,10,0.6,1
3101,0,48.5,0.32,0.99,2,0.89,0
3102,0,23.12,0.67,1.81,0,0.88,1
3103,2,67.65,0.64,0.84,7,0.52,0
3104,1,79.7,0.12,1.46,9,0.65,0
3105,0,10.72,0.63,1.16,1,0.94,1
3106,1,69.84,0.35,1.06,0,0.89,0
3107,2,14.18,0.47,1.01,0,0.69,0
3108,1,38.07,0.05,1.89,8,0.62,0
3109,2,129.52,0.58,2.11,0,0.67,0
3110,2,58.43,0.53,0.47,1,0.77,0
3111,2,77.03,0.31,1.51,3,0.93,0
3112,2,59.43,0.47,2.2,0,0.68,0
3113,2,45.3,0.05,1.87,9,0.55,0
3114,1,31.57,0.26,1.58,4,0.95,0
3115,3,94.43,0.16,0.97,17,0.45,1
3116,3,107.63,0.47,1.28,18,0.74,1
3117,2,51.62,0.36,1.51,0,0.54,1
3118,3,86.36,0.44,1.61,11,0.49,0
3119,1,76.22,0.22,2.46,1,0.77,0
3120,3,44.34,0.06,0.9,12,0.46,0
3121,3,51.74,0.71,0.3,12,0.58,1
3122,1,36.91,0.15,1.82,0,0.84,0
3123,1,111.28,0.05,1.52,0,0.59,0
3124,1,74.28,0.64,1.26,6,0.74,1
3125,0,50.94,0.45,2.23,12,0.8,0
3126,0,35.46,0.68,1.76,0,0.89,0
3127,2,65.52,0.7,1.1,0,0.92,1
3128,3,10.97,0.06,1.1,17,0.72,1
3129,0,27.3,0.43,1.49,0,0.82,1
3130,0,43.98,0.5,2.01,1,1,0
3131,3,37.36,0.5,0.96,23,0.82,0
3132,2,43.7,0.41,1.35,5,0.85,0
3133,2,70.38,0.83,2.26,0,0.77,0
3134,2,108.2,0.49,1.09,10,0.63,0
3135,3,71.43,0.52,0.46,8,0.55,0
3136,2,45.38,0.32,1.67,2,0.8,0
3137,3,80.18,0.09,1.5,14,0.73,0
3138,0,51.46,0.61,1.82,3,0.78,0
3139,0,5,0.42,0.87,2,0.88,0
3140,2,85.92,0.69,0.83,0,0.94,0
3141,2,14.43,0.2,1.31,7,0.9,0
3142,2,53.98,0.38,0.87,5,0.87,0
3143,2,26.07,0.28,1.35,8,0.45,1
3144,2,15.82,0.26,1.03,0,0.46,0
3145,2,36.62,0.45,1.58,4,0.7,0
3146,1,5,0.05,1.02,0,0.87,0
3147,2,29.18,0.45,1.9,0,0.27,0
3148,1,62.56,0.5,1.62,0,0.73,0
3149,2,61,0.88,1.51,0,0.93,1
3150,0,5,0.35,1.71,0,0.88,0
3151,0,79.1,0.61,1.41,0,0.71,1
3152,2,121.17,0.37,0.79,8,0.53,1
3153,0,101.84,0.58,2.11,4,0.79,0
3154,1,34.19,0.71,1.08,7,0.99,1
3155,3,30.22,0.05,1.7,17,0.7,0
3156,2,23.09,0.48,1.19,4,0.89,1
3157,2,104.76,0.73,0.83,7,0.79,0
3158,1,34.45,0.7,0.56,17,0.61,1
3159,1,28.73,0.47,2.62,0,0.77,0
3160,0,75.13,0.6,0.59,9,0.64,1
3161,1,84.08,0.38,1.35,0,0.78,0
3162,3,79.22,0.6,1.66,17,1,1
3163,0,18.36,0.43,0.3,8,0.93,1
3164,2,64.81,0.34,1.3,9,0.82,1
3165,1,93.86,0.57,2.06,9,0.91,0
3166,2,50.07,0.32,1.9,8,0.78,0
3167,1,58.85,0.57,1.8,17,0.83,1
3168,2,56.1,0.58,1.43,1,0.79,1
3169,0,41.91,0.64,0.77,2,1,1
3170,1,63.6,0.43,1,6,0.99,0
3171,0,76.68,0.88,0.91,0,0.53,0
3172,2,89.08,0.22,1.63,7,0.78,0
3173,2,48.34,0.78,0.51,7,0.43,1
3174,0,52.02,0.67,1.79,0,0.95,0
3175,1,34.86,0.6,1.19,0,0.8,0
3176,0,97.34,0.65,0.99,0,0.93,1
3177,0,37.04,0.36,1.66,2,0.96,0
3178,3,47.05,0.05,0.8,17,0.52,1
3179,2,52.39,0.34,1.94,0,0.63,1
3180,0,56.26,0.54,1.53,0,0.72,0
3181,2,5.06,0.62,1.35,0,0.64,1
3182,3,66.38,0.74,0.78,9,0.81,1
3183,2,63.34,0.39,0.95,6,0.59,1
3184,2,54.74,0.15,1.61,12,0.7,0
3185,0,60.8,0.38,1.74,0,0.53,0
3186,0,48.36,0.5,1.74,7,0.97,1
3187,3,6.86,0.21,1.47,12,0.33,1
3188,0,82.83,0.82,1.79,7,0.41,1
3189,0,6.44,0.54,0.81,3,0.76,0
3190,0,23.88,0.39,1.69,8,0.74,0
3191,3,85.99,0.51,0.79,10,0.55,1
3192,1,9.42,0.45,1.35,10,0.58,0
3193,1,45.26,0.16,1.27,8,0.4,0
3194,1,104.4,0.68,1.19,0,0.75,1
3195,0,52.17,0.66,2.47,0,0.84,1
3196,1,8.67,0.23,1.09,0,0.75,1
3197,0,72.57,0.64,1.89,8,0.62,0
3198,1,63.49,0.08,1.41,10,0.6,0
3199,1,53.65,0.39,1.85,0,0.61,0
3200,0,5,0.46,1.17,0,0.88,0
3201,2,89.2,0.57,0.85,5,0.95,1
3202,3,103.09,0.81,1.3,13,0.73,0
3203,3,49.26,0.76,1.38,15,0.71,0
3204,3,30.12,0.44,1.96,11,0.85,0
3205,2,66,0.08,1.26,5,0.73,0
3206,2,66.36,0.39,1.23,0,0.69,1
3207,2,68.97,0.5,1.5,0,0.69,0
3208,3,50.3,0.61,1.1,30,0.93,1
3209,0,66.35,0.81,1.56,0,0.81,0
3210,2,72.48,0.28,1.35,0,0.93,1
3211,2,126.93,0.46,0.59,0,0.61,1
3212,3,63.24,0.56,1.52,14,0.63,1
3213,0,55.34,0.2,1.57,0,1,0
3214,0,5,0.53,1.43,4,0.63,1
3215,2,7.05,0.47,1.45,5,0.45,0
3216,3,53.76,0.75,1.59,15,0.83,0
3217,1,47.61,0.19,1.28,0,0.69,0
3218,1,21.31,0.44,1.32,4,0.78,1
3219,0,20.29,0.58,1.6,8,0.87,0
3220,0,68.13,0.43,1.59,3,0.76,0
3221,2,32.66,0.18,1.35,0,0.54,0
3222,1,26.95,0.34,1.63,0,0.63,1
3223,1,18.51,0.49,1.61,0,0.68,1
3224,0,25.53,0.96,0.3,0,0.81,0
3225,2,38.74,0.2,1.17,3,0.83,0
3226,2,49.31,0.43,2.02,0,0.61,0
3227,2,57,0.49,1.81,5,0.56,0
3228,0,37.4,0.61,2.07,4,0.41,0
3229,1,5,0.27,1.46,0,0.95,0
3230,3,16.41,0.51,2.13,15,0.94,0
3231,1,34.61,0.91,1.12,8,0.89,0
3232,3,80.97,0.21,0.97,15,0.69,0
3233,3,46.97,0.48,1.48,11,0.51,0
3234,3,62.79,0.6,1.24,14,0.54,1
3235,3,92.02,0.46,2.08,11,0.6,0
3236,2,45.01,0.48,1.95,3,0.62,0
3237,1,49.69,0.58,1.44,4,0.82,1
3238,1,51.16,0.46,1.32,10,0.62,1
3239,1,51.9,0.6,1.42,4,0.66,0
3240,2,18.74,0.38,1.63,10,0.59,0
3241,2,65,0.54,1.61,0,0.87,0
3242,2,53,0.32,2.01,4,0.94,0
3243,1,25.17,0.41,2.04,0,0.92,0
3244,2,44.78,0.44,0.61,4,0.8,0
3245,0,5,0.3,1.64,3,0.97,0
3246,2,5,0.13,1.18,6,0.39,0
3247,2,76.54,0.2,1.73,3,0.49,0
3248,1,43.51,0.4,1.84,6,0.59,0
3249,0,89.91,0.66,0.75,0,0.84,0
3250,0,51.88,0.52,1.68,5,1,1
3251,0,56.6,0.65,1.51,2,1,0
3252,0,49.35,0.58,1.92,0,0.79,0
3253,3,19.7,0.65,1.74,15,1,0
3254,1,62.33,0.36,0.98,0,0.78,0
3255,3,29.9,0.46,1.03,18,0.54,0
3256,0,59.54,0.41,0.91,0,0.7,0
3257,2,24.96,0.44,1.59,1,0.94,0
3258,2,72.34,0.16,1.22,0,0.75,1
3259,2,63.04,0.55,0.66,4,0.98,1
3260,2,86.68,0.43,1.49,4,1,1
3261,2,71.73,0.68,0.98,2,0.49,0
3262,2,48.32,0.2,1.3,0,0.2,1
3263,2,96.1,0.05,1.23,11,0.66,0
3264,2,61.5,0.52,0.92,6,0.73,1
3265,2,5,0.27,2.1,0,0.95,1
3266,3,31.74,0.53,1.18,9,1,0
3267,0,45.54,0.57,1,8,0.49,1
3268,2,89.23,0.76,1.79,2,0.44,0
3269,1,36.98,0.6,1.19,0,0.7,1
3270,1,29.3,0.61,1.2,6,1,0
3271,0,5,0.05,2.19,10,0.9,0
3272,2,88.76,0.3,2.29,8,0.74,0
3273,2,93.19,0.59,1.25,0,0.68,0
3274,2,15.81,0.42,1.03,0,0.65,0
3275,0,7.43,0.73,1.39,1,1,0
3276,3,81.21,0.42,1.12,13,1,0
3277,1,88.85,0.36,1.62,7,0.47,0
3278,1,28.34,0.33,1.25,3,0.79,0
3279,1,43.03,0.24,1.9,0,0.52,0
3280,3,66.71,0.48,0.87,11,0.88,0
3281,1,19.35,0.49,1.32,0,0.66,1
3282,3,22.82,0.05,1.71,15,0.89,0
3283,2,39.76,0.35,1.97,0,0.89,0
3284,3,20.12,0.53,1.08,12,0.67,0
3285,3,137.37,0.46,1.4,13,0.96,1
3286,1,87.36,0.45,1.57,10,1,1
3287,3,40.88,0.32,1.35,16,0.81,0
3288,2,53.89,0.31,1.35,9,0.76,0
3289,0,5,0.36,2.19,0,0.58,0
3290,3,62.05,0.52,1.84,21,0.55,0
3291,0,72.24,0.05,1.31,0,0.81,0
3292,0,29.97,0.28,0.99,0,0.72,0
3293,0,36.52,1.06,1.67,1,0.83,1
3294,1,22.68,0.81,1.53,2,0.44,0
3295,2,91.55,0.71,1.24,1,1,0
3296,0,90.02,0.5,0.75,5,0.82,0
3297,0,61.74,0.17,0.3,9,1,0
3298,2,54.03,0.38,0.77,9,0.71,0
3299,1,12.56,0.38,2.07,0,0.71,0
3300,2,28.48,0.33,0.93,5,0.67,1
3301,2,41.27,0.29,2.13,5,0.46,0
3302,3,29.89,0.42,1.61,12,0.8,1
3303,3,66.92,0.23,1.56,12,0.7,0
3304,1,5,0.28,1.22,0,0.59,0
3305,1,11.32,0.35,2.1,0,0.73,0
3306,0,31.1,0.4,1.67,0,0.88,0
3307,3,5,0.53,1.34,8,0.9,0
3308,1,80.02,0.24,1.39,0,0.64,1
3309,0,84.18,0.36,1.51,1,0.68,1
3310,2,5,0.34,1.59,2,0.63,1
3311,1,58.7,0.58,1.26,3,0.73,0
3312,2,37.89,0.46,2.37,5,0.4,0
3313,2,49.68,0.05,2.1,3,0.91,0
3314,0,66.03,0.18,1.25,1,0.9,0
3315,1,5,0.49,1.35,6,0.8,1
3316,3,82.08,0.23,1.89,11,0.63,0
3317,1,65.64,0.05,1.11,0,1,0
3318,1,82.6,0.36,1.31,0,1,1
3319,2,5,0.27,1.6,0,0.77,0
3320,1,48.99,0.66,1.4,0,0.94,0
3321,1,66.11,0.63,0.69,0,0.98,0
3322,1,63.07,0.44,0.76,1,1,0
3323,1,75.62,0.39,1.52,0,0.68,0
3324,1,63.67,0.67,1.35,3,0.95,1
3325,2,5,0.35,1.26,0,0.63,0
3326,1,84.57,0.56,0.74,1,0.95,0
