borrower_id,age,business_type,years_in_operation,region,annual_revenue,ebitda_margin,cashflow_stability,bank_balance_avg,dti_ratio,dscr,loan_amount,tenure_months,interest_rate,past_delinquencies,dpd_last_6m,repayment_consistency,monthly_inflow,monthly_outflow,default
1480,30,Retail,5,West,38.89,19.92,0.73,2.3,0.67,1.33,4.65,60,17.28,0,1,0.93,4.43,2.47,1
1481,42,Manufacturing,4,Central,44.96,12.5,0.74,1.77,0.48,1.16,22.51,36,15.21,0,0,0.54,5.91,9.93,0
1482,31,Construction,8,East,5.0,8.15,0.68,1.32,0.46,0.81,16.74,12,13.52,0,6,0.87,4.87,6.26,1
1483,52,Manufacturing,0,West,31.53,18.85,0.69,3.85,0.59,2.0,12.46,36,14.87,0,0,0.78,5.95,1.75,0
1484,31,Trading,5,South,5.0,12.98,0.51,0.1,0.54,0.58,6.91,24,15.57,0,10,0.93,8.79,1.0,0
1485,37,Construction,6,West,39.64,23.06,0.81,3.85,0.46,2.63,4.59,24,17.1,0,0,0.77,14.06,6.5,0
1486,44,Trading,3,South,90.86,15.24,0.72,6.61,0.67,1.26,15.88,36,17.83,0,0,0.84,1.0,1.0,1
1487,21,Construction,6,South,81.94,22.64,0.7,5.12,0.79,1.66,20.89,12,13.09,1,11,0.65,5.22,10.11,0
1488,21,Retail,6,South,40.11,16.83,0.8,0.81,0.9,1.32,10.71,12,16.68,1,3,0.54,7.87,6.81,0
1489,21,Services,8,West,32.75,19.95,0.79,7.13,0.23,2.38,5.75,36,16.85,0,11,0.85,10.96,13.8,0
1490,47,Services,4,South,25.63,14.19,0.58,4.55,0.52,0.9,4.51,24,10.0,0,3,0.42,13.33,9.33,1
1491,29,Manufacturing,4,Central,75.88,11.66,0.74,0.79,0.55,0.72,5.68,36,11.37,0,0,0.95,4.59,1.0,0
1492,60,Healthcare,6,Central,40.59,9.49,0.7,0.1,0.51,1.13,21.83,36,15.29,0,3,0.49,8.21,14.08,1
1493,29,Construction,4,South,57.92,6.53,0.8,1.74,0.78,1.32,10.36,48,15.59,1,0,0.81,2.23,14.41,0
1494,36,Trading,0,North,70.08,11.32,0.87,3.11,0.53,0.62,5.59,12,13.42,0,1,0.98,16.81,13.99,1
1495,50,Healthcare,7,East,72.25,5.99,0.66,4.02,0.99,1.42,7.71,12,21.31,1,7,0.49,12.93,1.83,1
1496,55,Retail,0,Central,5.0,9.55,0.8,1.99,0.64,1.19,15.24,12,19.85,0,1,0.74,4.87,1.0,1
1497,55,Retail,6,East,66.82,13.4,0.73,2.15,0.14,1.32,8.18,36,12.51,0,0,0.8,15.66,1.58,1
1498,47,Retail,12,South,52.98,15.17,0.51,3.7,0.55,2.02,9.25,12,17.45,0,2,0.98,8.34,8.77,0
1499,45,Services,6,South,5.0,20.22,0.58,1.64,0.36,1.62,2.0,48,13.29,0,1,0.8,10.28,6.96,0
1500,40,Trading,2,South,91.45,13.52,0.59,3.28,0.74,0.75,15.61,36,16.3,0,6,0.78,3.05,9.55,0
1501,42,Retail,3,North,55.93,14.91,0.86,4.58,0.45,0.98,19.57,24,15.94,0,2,0.49,2.79,3.15,0
1502,29,Retail,6,North,5.0,10.74,0.52,2.89,0.31,0.99,8.64,36,15.18,1,8,1.0,10.15,1.0,1
1503,26,Manufacturing,4,East,32.53,12.05,0.47,5.78,0.5,2.6,12.92,60,11.01,0,0,0.51,15.29,9.92,0
1504,34,Construction,7,South,43.69,12.46,0.83,2.8,0.39,1.52,4.46,24,10.0,0,0,0.76,8.99,5.78,1
1505,33,Construction,9,East,128.38,24.62,0.73,1.06,0.22,0.6,5.66,12,15.62,0,4,0.65,7.51,7.68,1
1506,30,Construction,8,South,23.78,14.54,0.66,6.87,0.22,1.53,9.09,24,19.04,1,11,0.87,4.45,1.84,0
1507,41,Healthcare,1,North,29.33,4.85,0.42,4.45,0.62,1.57,2.0,12,14.24,0,11,0.83,7.13,1.0,0
1508,44,Manufacturing,5,North,55.4,13.4,0.43,3.18,0.39,1.63,13.87,36,16.12,1,8,0.49,10.09,3.55,1
1509,35,Services,6,South,114.23,6.92,0.33,3.11,0.67,0.72,2.0,48,15.56,1,12,0.76,5.66,2.34,1
1510,49,Healthcare,9,East,43.04,8.1,0.57,1.39,0.05,2.12,24.73,48,15.33,0,7,0.7,3.96,5.13,0
1511,23,Manufacturing,6,North,36.6,12.31,1.0,3.16,0.41,1.99,4.74,48,21.36,0,6,0.72,4.75,5.22,0
1512,33,Retail,2,East,55.4,14.67,0.74,1.73,0.73,0.98,2.0,60,13.81,2,11,0.62,1.0,12.51,1
1513,27,Trading,6,Central,40.1,14.3,0.76,5.47,0.6,1.44,10.68,36,21.25,0,0,0.53,11.25,10.38,0
1514,21,Healthcare,10,East,39.66,7.97,0.69,3.86,0.58,1.74,10.58,12,18.77,0,16,0.83,9.35,3.3,1
1515,34,Healthcare,4,West,78.87,2.79,0.5,3.41,0.56,1.4,15.71,36,11.32,0,1,0.58,8.29,13.09,0
1516,33,Retail,2,West,35.09,11.22,0.63,2.04,0.2,0.94,2.0,36,17.15,1,9,0.82,8.56,17.13,0
1517,50,Retail,4,South,39.47,11.61,0.87,3.24,0.55,1.92,12.3,24,12.35,1,4,0.54,1.33,4.67,0
1518,41,Trading,3,West,80.01,11.47,0.76,0.32,0.67,0.47,12.79,60,11.29,0,2,0.68,1.0,1.0,0
1519,24,Construction,7,Central,7.13,13.28,0.34,4.22,0.26,1.36,4.87,36,16.04,0,6,0.57,1.0,9.96,0
1520,53,Healthcare,3,South,39.59,9.44,0.96,2.02,0.23,1.87,7.58,24,14.08,2,6,0.7,7.59,12.78,1
1521,47,Manufacturing,8,East,5.0,17.48,0.69,1.69,0.61,1.38,6.2,24,17.07,0,13,0.51,1.0,14.69,0
1522,40,Services,6,East,35.03,16.03,0.58,6.69,0.49,2.07,11.07,36,10.0,0,17,0.92,4.79,1.0,0
1523,32,Retail,7,Central,39.48,16.94,0.66,4.35,0.27,1.38,9.08,36,15.39,0,12,0.79,8.18,1.0,0
1524,25,Retail,7,North,39.98,20.8,0.63,0.67,0.82,1.72,17.87,48,11.79,0,0,0.87,7.05,15.48,1
1525,31,Services,7,North,38.29,14.85,0.59,5.12,0.37,1.22,5.05,12,14.48,2,4,0.83,1.0,11.91,0
1526,45,Manufacturing,4,South,58.42,12.32,0.78,0.1,0.6,2.3,13.36,24,25.26,0,1,1.0,3.18,2.57,0
1527,53,Retail,2,East,16.46,11.4,0.58,1.28,0.06,2.14,7.22,24,12.59,0,0,0.56,7.35,4.65,0
1528,50,Services,3,South,61.7,16.22,0.57,3.8,0.5,1.11,6.84,12,15.5,0,8,0.83,3.52,1.0,1
1529,30,Retail,7,South,34.82,12.46,0.72,2.98,0.32,0.99,5.51,24,16.65,0,2,0.62,4.12,5.49,0
1530,23,Construction,0,South,72.75,1.02,0.75,1.71,0.57,1.75,15.45,36,11.67,1,9,0.61,8.91,6.56,0
1531,36,Construction,0,North,48.13,8.43,0.81,3.52,0.71,1.38,17.05,24,12.95,0,0,0.95,18.39,6.02,0
1532,21,Retail,5,North,32.24,20.86,0.8,1.94,0.7,1.4,13.31,12,15.93,0,0,0.88,1.03,1.0,0
1533,38,Retail,7,West,10.69,1.0,0.72,3.37,0.43,1.37,8.7,24,15.04,1,2,0.92,14.71,7.51,0
1534,33,Construction,7,Central,58.89,14.06,0.43,3.95,0.6,1.42,10.13,36,12.3,0,7,0.64,9.37,8.07,0
1535,30,Retail,2,South,44.23,15.29,0.89,5.85,0.96,1.81,11.1,24,16.87,2,8,0.62,15.52,9.1,0
1536,21,Manufacturing,1,East,93.88,11.48,0.85,4.11,0.43,0.3,13.87,60,14.03,0,6,0.78,7.93,7.26,1
1537,40,Manufacturing,2,West,96.16,7.96,0.74,2.67,0.42,1.73,2.0,24,12.31,0,5,0.76,9.89,14.09,0
1538,29,Trading,3,South,35.41,5.64,0.67,3.84,0.24,1.25,4.44,48,13.63,0,13,0.63,7.36,1.0,0
1539,23,Manufacturing,3,East,5.0,13.14,0.61,0.1,0.53,1.59,9.57,48,17.18,3,1,0.71,4.05,12.53,0
1540,21,Healthcare,5,South,76.6,10.14,0.82,6.08,0.35,1.4,19.33,24,14.27,1,21,0.66,4.03,14.33,1
1541,34,Healthcare,9,West,34.04,21.26,0.43,3.59,0.31,1.07,4.82,36,12.51,1,0,0.68,11.11,1.0,1
1542,52,Healthcare,4,West,39.5,14.87,0.76,9.38,0.07,1.29,7.2,24,10.27,0,11,0.83,14.51,15.16,0
1543,51,Retail,7,West,85.84,9.63,0.78,3.59,0.25,1.81,14.75,24,12.42,0,7,0.7,9.96,17.95,0
1544,30,Retail,6,South,60.42,13.79,0.37,3.64,0.28,1.58,9.58,12,12.48,0,17,0.51,8.2,12.09,0
1545,28,Services,2,West,75.44,7.94,0.99,0.1,0.7,1.57,5.36,12,11.16,1,0,0.55,6.64,7.61,0
1546,39,Healthcare,6,East,81.9,10.9,1.0,1.53,0.41,1.35,10.31,36,13.66,0,2,0.95,2.95,2.62,0
1547,25,Healthcare,6,West,44.95,1.32,1.0,3.0,0.27,1.52,15.31,36,10.44,0,0,0.86,13.08,1.0,0
1548,38,Manufacturing,4,East,70.53,9.85,0.8,2.22,0.79,1.77,15.59,36,17.79,0,11,0.65,6.25,9.19,0
1549,42,Construction,5,West,53.16,15.27,0.98,6.58,0.6,1.43,10.65,36,19.48,1,5,0.64,12.58,8.58,0
1550,47,Construction,4,South,66.18,10.99,0.66,3.5,0.27,0.87,7.51,36,19.35,0,10,0.85,9.08,4.58,1
1551,33,Trading,1,South,54.67,17.36,1.0,2.64,0.52,1.19,6.16,24,15.47,1,11,0.54,3.14,12.24,0
1552,32,Services,12,West,90.82,19.6,0.73,4.24,0.7,1.14,6.12,24,17.76,0,9,0.63,1.0,9.1,1
1553,26,Construction,8,East,11.56,16.31,0.39,2.33,0.34,1.45,8.51,24,16.48,1,0,0.47,7.23,7.1,0
1554,26,Trading,6,South,36.98,23.94,0.59,4.11,0.49,1.13,13.94,12,17.33,1,0,0.94,1.03,3.66,1
1555,32,Manufacturing,3,South,47.33,18.21,0.76,0.5,0.1,1.99,15.89,36,17.36,0,8,0.55,7.75,1.0,0
1556,38,Services,4,South,53.62,12.21,0.73,5.99,0.56,0.3,8.41,24,11.5,1,3,0.8,9.23,4.01,1
1557,44,Services,1,West,11.52,10.78,0.52,3.78,0.85,0.44,2.08,24,17.38,0,0,0.5,2.22,1.0,1
1558,26,Healthcare,6,West,27.69,9.55,0.9,3.94,0.71,2.82,19.64,12,15.8,1,0,0.99,10.5,8.2,0
1559,49,Retail,6,West,51.11,7.75,0.87,1.97,0.43,1.28,3.22,12,12.35,0,9,0.89,10.75,4.85,1
1560,32,Healthcare,4,North,33.69,13.99,0.6,4.92,0.3,1.21,3.84,12,12.31,0,0,1.0,15.06,13.68,1
1561,34,Manufacturing,5,North,5.0,9.81,0.42,0.39,0.52,1.16,6.09,36,14.41,0,0,0.67,5.58,1.0,1
1562,27,Healthcare,4,East,39.06,3.95,0.8,2.01,0.77,1.6,21.81,36,13.3,2,13,0.72,5.36,6.92,1
1563,21,Services,3,South,13.6,16.79,0.63,3.8,0.4,1.82,3.19,12,15.66,0,0,1.0,15.58,4.91,1
1564,43,Healthcare,2,South,68.03,8.51,0.61,2.86,0.46,1.97,17.39,24,14.07,1,7,0.78,14.73,13.08,1
1565,42,Trading,1,West,58.84,2.95,0.53,0.98,0.25,1.77,15.28,36,21.77,0,0,0.5,11.08,11.33,0
1566,32,Healthcare,2,East,77.02,18.7,0.9,2.58,0.32,1.16,9.99,36,14.62,0,3,1.0,17.74,9.41,0
1567,35,Construction,3,North,56.25,18.91,0.47,2.01,0.39,0.44,6.94,24,13.26,1,23,0.72,1.0,9.49,1
1568,40,Manufacturing,8,Central,17.79,5.14,0.59,1.67,0.38,1.72,11.32,36,16.24,0,2,0.99,12.71,12.84,0
1569,21,Manufacturing,3,South,5.0,8.78,0.63,6.04,0.3,1.5,7.55,60,13.26,1,10,0.71,2.65,14.28,0
1570,29,Services,0,South,84.29,7.17,0.63,1.61,0.31,0.82,13.29,24,16.35,0,0,1.0,13.56,4.48,0
1571,42,Healthcare,5,North,37.21,8.14,0.38,0.82,0.69,0.58,2.0,24,14.2,1,0,0.83,18.24,14.24,1
1572,22,Services,6,West,5.0,1.0,0.62,0.89,0.56,1.34,10.75,36,14.65,0,6,0.95,19.85,5.64,0
1573,37,Services,7,North,97.02,9.49,0.77,2.06,0.64,2.13,13.63,24,10.95,1,0,0.73,6.94,4.4,1
1574,21,Trading,5,West,67.32,9.73,0.74,3.26,0.61,1.92,9.31,36,13.01,0,0,0.63,12.57,1.0,0
1575,39,Retail,1,South,96.6,21.48,0.32,3.8,0.65,2.38,7.45,48,13.86,0,5,0.42,4.75,3.87,1
1576,34,Services,2,North,62.82,12.84,0.85,6.56,0.61,1.72,6.34,36,12.96,0,0,0.81,1.0,1.0,1
1577,21,Retail,6,South,69.94,8.76,0.79,0.1,0.78,1.6,17.36,36,10.0,0,0,0.85,4.8,12.0,1
1578,46,Retail,9,West,34.75,13.33,0.44,0.53,0.89,1.28,2.57,36,10.0,1,9,0.95,9.36,5.14,1
1579,27,Manufacturing,1,West,71.35,3.9,0.66,1.58,0.53,1.57,11.42,24,12.01,1,7,1.0,2.03,1.0,0
1580,26,Construction,5,East,108.08,12.46,0.5,1.47,0.68,1.31,19.39,60,16.42,0,12,0.78,1.0,4.8,0
1581,37,Construction,3,West,74.9,8.02,0.87,0.16,0.12,2.3,5.16,36,19.55,0,2,0.64,14.39,12.56,0
1582,46,Healthcare,2,West,39.31,12.76,0.9,3.0,0.43,1.3,24.38,48,13.38,0,2,0.55,4.95,1.0,1
1583,24,Trading,5,West,10.69,14.77,0.81,6.85,0.67,1.88,14.05,24,10.0,0,1,1.0,5.67,5.48,1
1584,35,Trading,4,Central,84.34,8.69,0.95,4.74,0.06,0.87,2.0,36,11.9,0,10,0.32,3.23,2.44,0
1585,39,Construction,0,East,51.76,13.63,0.77,1.07,0.75,1.51,6.16,36,18.15,0,8,0.48,1.0,7.34,0
1586,41,Healthcare,5,East,53.07,7.85,0.71,2.79,0.11,1.92,2.0,60,16.03,0,16,1.0,8.12,1.0,0
1587,36,Construction,5,West,5.0,5.67,0.79,2.73,0.8,1.3,5.9,24,12.31,2,5,0.6,8.5,5.58,1
1588,31,Healthcare,7,West,5.0,17.49,0.57,3.92,0.86,1.78,2.0,36,16.46,0,18,0.42,6.57,4.59,1
1589,26,Healthcare,3,North,52.56,18.17,0.54,2.87,0.08,0.67,18.7,36,16.07,0,9,0.62,9.96,3.28,0
1590,35,Healthcare,0,East,23.02,13.24,0.67,2.05,0.58,1.79,2.0,48,15.28,0,1,0.8,12.71,9.77,0
1591,24,Healthcare,3,South,56.28,16.69,0.63,6.68,0.47,1.29,12.98,24,10.0,0,0,0.7,4.54,1.67,1
1592,21,Manufacturing,7,South,78.6,2.72,0.58,2.38,0.68,1.29,4.9,24,15.8,0,3,0.61,4.86,18.18,0
1593,39,Manufacturing,4,West,32.99,16.93,0.94,1.97,0.44,1.75,13.12,60,13.17,0,17,0.79,11.64,8.38,0
1594,44,Construction,7,South,57.01,20.56,0.59,6.2,0.43,1.35,12.9,12,15.5,1,0,0.67,1.0,5.88,0
1595,21,Healthcare,1,Central,46.49,15.62,0.47,3.39,0.64,1.12,9.29,24,12.58,1,0,0.87,5.42,6.65,0
1596,24,Services,7,East,138.56,11.23,0.47,3.59,0.7,1.26,10.12,36,18.31,0,15,0.67,1.83,7.63,0
1597,41,Healthcare,5,West,34.16,4.0,0.72,6.17,0.15,0.84,2.54,36,15.49,2,8,0.72,13.07,1.0,1
1598,55,Services,3,North,29.06,15.26,0.95,3.4,0.67,1.32,16.15,36,13.91,0,0,1.0,11.91,7.51,1
1599,35,Manufacturing,8,West,36.35,15.34,0.39,1.66,0.6,1.56,9.08,36,12.25,0,13,0.66,4.6,3.42,0
1600,27,Healthcare,5,North,84.93,18.55,0.78,4.02,0.41,2.5,13.08,36,11.7,0,0,0.72,10.5,3.53,0
1601,33,Retail,2,South,35.14,10.06,0.89,0.1,0.14,1.29,23.02,48,18.96,3,4,0.74,9.85,10.71,1
1602,48,Construction,7,Central,72.21,8.58,0.56,7.66,0.37,1.32,6.84,36,14.45,0,11,0.4,11.73,2.93,0
1603,28,Healthcare,4,South,51.06,7.44,0.56,0.44,0.53,1.43,15.71,12,16.87,0,8,0.63,9.27,3.36,0
1604,27,Trading,5,East,51.87,6.45,0.99,2.95,0.05,1.74,8.58,60,10.0,0,12,0.76,13.46,3.87,0
1605,30,Services,2,East,98.01,14.95,0.89,3.78,0.63,1.34,2.0,60,18.26,1,2,0.73,1.0,12.07,1
1606,25,Healthcare,4,Central,5.0,11.79,0.62,0.1,0.41,0.86,4.34,24,14.05,0,11,0.72,4.88,3.95,0
1607,36,Retail,2,West,53.99,14.8,0.76,1.52,0.85,2.17,6.62,12,15.74,0,0,0.71,6.84,1.0,0
1608,51,Services,4,West,70.92,12.92,0.7,6.54,0.51,1.87,21.88,24,13.94,2,1,0.62,11.69,12.38,0
1609,38,Retail,5,Central,61.81,9.51,0.84,5.47,0.2,1.53,8.26,36,11.18,0,0,0.82,9.87,6.21,0
1610,32,Construction,6,East,6.02,6.76,0.69,6.09,0.62,1.14,2.0,60,21.41,0,6,0.85,9.54,9.46,0
1611,32,Construction,0,East,15.81,19.95,0.6,2.31,0.49,1.1,5.3,12,16.04,2,13,0.83,11.92,9.75,0
1612,21,Construction,8,East,58.35,13.35,0.6,5.54,0.44,2.03,16.85,60,15.23,0,0,0.9,1.95,11.17,1
1613,43,Manufacturing,8,North,5.0,19.11,0.89,4.17,0.83,1.06,4.58,12,14.33,0,7,0.55,8.14,13.12,0
1614,34,Retail,4,South,34.11,14.85,0.74,2.77,0.26,1.54,5.56,60,13.46,0,0,0.74,3.8,11.08,0
1615,33,Healthcare,5,South,13.09,9.81,0.71,4.29,0.68,1.72,7.93,36,20.44,0,14,0.86,8.57,7.38,1
1616,65,Trading,5,West,55.78,9.52,0.8,3.47,0.45,1.03,9.47,24,18.12,1,12,0.88,7.78,11.57,1
1617,37,Trading,5,North,45.28,7.19,0.79,4.09,0.54,1.46,11.15,48,15.43,1,17,0.79,6.84,1.0,1
1618,27,Construction,6,West,61.37,19.62,0.51,0.57,0.65,2.4,11.75,36,12.51,0,0,0.86,7.45,1.0,0
1619,30,Trading,3,West,23.98,20.42,0.63,4.74,0.14,2.62,3.52,60,11.03,0,0,0.46,17.69,7.78,0
1620,46,Services,2,North,57.96,10.16,0.51,0.1,0.49,1.42,16.38,24,12.39,1,0,0.99,2.98,18.66,1
1621,36,Retail,6,South,50.11,15.97,0.57,1.65,0.49,1.48,9.16,24,14.73,1,0,0.58,5.12,6.62,0
1622,21,Retail,0,West,24.24,9.89,0.93,0.1,0.39,1.95,4.26,60,13.53,0,0,0.49,9.78,1.0,0
1623,44,Retail,6,Central,82.84,3.09,1.0,7.23,0.28,1.64,10.88,48,16.39,0,8,0.77,10.93,1.0,0
1624,28,Services,7,East,70.98,8.58,0.55,10.72,0.5,1.44,17.22,48,14.96,0,4,1.0,6.5,1.0,1
1625,53,Healthcare,2,South,30.86,16.37,0.61,6.95,0.63,0.82,12.66,36,14.96,0,5,0.74,2.41,3.77,0
1626,45,Manufacturing,9,West,26.37,18.08,0.67,5.45,0.77,1.49,11.34,36,10.09,0,0,0.88,7.3,15.05,1
1627,30,Services,3,East,77.86,11.98,0.29,1.1,0.66,1.99,7.16,24,13.33,1,5,0.96,2.66,3.58,0
1628,47,Retail,3,West,5.0,7.9,1.0,0.84,0.4,1.22,11.19,12,16.87,0,4,0.59,10.51,9.31,0
1629,35,Retail,3,North,11.22,5.24,0.51,3.39,0.66,1.12,2.0,24,18.14,0,8,0.8,10.87,16.74,0
1630,43,Retail,6,South,64.4,10.1,0.66,2.57,0.35,1.86,4.53,48,14.28,1,1,0.56,2.84,23.14,1
1631,39,Healthcare,3,North,104.45,10.53,0.76,1.14,0.11,1.01,8.53,36,18.25,0,4,0.43,6.44,7.17,0
1632,26,Trading,0,South,31.87,10.5,0.7,2.92,0.74,2.23,4.69,12,19.02,0,0,1.0,7.47,1.0,1
1633,28,Manufacturing,6,South,35.31,4.97,0.71,0.1,0.2,1.5,7.27,12,17.74,0,5,0.79,17.72,18.97,0
1634,45,Services,4,West,43.41,14.13,0.75,1.63,0.29,0.52,2.67,48,22.7,0,7,0.92,2.0,14.15,1
1635,31,Retail,8,West,35.79,12.6,0.5,1.09,0.46,2.06,9.26,36,12.06,0,0,0.89,14.28,10.5,0
1636,30,Construction,5,West,37.18,10.32,0.69,4.16,0.42,1.38,9.92,36,14.82,1,0,0.73,1.26,11.85,0
1637,25,Manufacturing,5,North,31.61,12.02,0.89,0.57,0.05,0.86,4.31,60,14.74,1,0,0.75,5.7,7.57,0
1638,39,Construction,8,North,55.62,15.2,0.62,2.15,0.34,1.96,18.74,36,10.0,1,0,0.57,10.64,11.03,0
1639,55,Manufacturing,5,West,70.81,15.32,0.71,2.13,0.62,1.6,7.78,36,14.86,0,0,0.2,9.7,1.16,0
1640,24,Retail,7,Central,54.74,19.56,0.77,3.61,0.53,2.03,11.59,60,15.4,2,7,0.83,4.33,9.09,0
1641,35,Manufacturing,3,North,45.13,19.65,0.79,3.52,0.57,1.93,3.89,12,10.53,2,0,0.75,1.0,8.92,0
1642,49,Manufacturing,9,South,31.77,15.1,0.72,1.81,0.05,1.13,4.45,36,14.48,2,3,0.93,7.06,6.74,0
1643,34,Retail,5,North,14.72,11.04,0.74,4.1,0.16,1.14,9.93,48,17.66,1,4,1.0,11.87,9.19,1
1644,39,Healthcare,1,West,11.04,8.13,0.56,0.69,0.56,1.33,8.33,48,21.05,1,9,0.86,18.58,3.31,0
1645,24,Construction,5,Central,5.05,17.15,0.5,1.53,0.87,1.33,16.04,24,10.12,1,0,0.69,4.79,11.53,1
1646,39,Healthcare,5,West,68.95,4.9,0.76,2.47,0.42,1.91,12.06,48,21.57,0,3,0.57,1.0,2.9,1
1647,33,Construction,5,East,32.53,12.51,0.64,5.98,0.49,1.7,5.99,24,17.68,0,0,0.46,5.81,8.67,1
1648,44,Trading,0,North,61.91,6.39,0.74,5.53,0.5,1.27,15.52,48,19.55,0,0,0.7,7.74,1.0,0
1649,46,Construction,3,South,28.58,17.86,0.7,0.1,0.63,1.63,6.99,24,17.22,0,0,0.43,10.97,7.23,0
1650,60,Construction,0,East,47.8,16.86,0.59,4.11,0.26,1.85,6.57,36,17.66,0,0,0.72,8.59,6.93,0
1651,40,Manufacturing,0,South,39.84,12.18,0.62,3.51,0.86,2.39,5.5,36,17.16,0,6,0.49,4.7,10.16,0
1652,38,Trading,5,South,97.2,29.39,0.43,4.17,0.74,1.22,8.26,24,12.6,0,8,0.75,1.0,3.58,0
1653,36,Retail,3,Central,35.71,7.55,0.68,1.06,0.61,1.97,4.58,36,15.88,2,10,0.56,8.11,3.16,1
1654,31,Retail,3,North,75.27,14.68,0.55,8.55,0.36,1.49,5.47,36,19.39,3,11,0.86,12.96,8.98,1
1655,38,Services,2,South,8.09,15.33,0.77,1.77,0.56,1.82,15.24,48,14.86,0,3,0.31,1.21,9.66,1
1656,32,Trading,9,North,90.62,13.43,0.69,3.16,0.55,1.97,11.73,60,17.03,0,18,0.81,17.21,18.9,0
1657,36,Manufacturing,5,West,74.88,10.33,0.76,7.43,0.3,1.68,8.01,24,18.5,0,6,0.69,20.01,1.0,0
1658,48,Services,0,South,32.37,12.67,0.73,2.73,0.24,0.86,15.1,12,13.44,0,0,0.72,15.05,1.36,1
1659,24,Services,6,North,31.91,22.68,0.8,1.87,0.54,2.16,7.85,36,15.62,0,6,0.58,9.49,1.0,0
1660,46,Retail,3,West,85.77,12.28,0.8,4.89,0.41,1.36,9.47,24,10.53,1,3,0.63,2.04,5.43,0
1661,48,Construction,8,Central,77.92,15.92,0.64,2.39,0.67,1.33,2.0,48,13.45,0,8,0.43,2.82,7.28,0
1662,33,Manufacturing,4,North,42.92,2.36,0.79,3.24,0.19,0.3,15.36,48,15.08,0,0,0.91,6.39,10.18,0
1663,21,Trading,2,West,24.21,11.13,0.85,0.32,0.51,1.53,13.77,24,12.79,0,2,0.81,5.69,11.39,0
1664,28,Services,3,West,82.28,25.72,0.67,1.02,0.71,1.38,6.38,12,24.23,2,12,1.0,7.44,11.02,1
1665,47,Manufacturing,3,South,35.84,8.99,0.8,3.5,0.56,1.8,11.27,36,17.97,1,0,0.61,6.88,7.18,0
1666,34,Retail,6,North,60.07,8.67,0.74,1.98,0.72,1.49,5.81,60,16.82,1,17,0.84,11.24,12.1,1
1667,25,Services,2,West,32.9,22.42,0.79,0.5,0.68,1.58,3.08,12,15.52,0,0,0.53,6.24,6.63,0
1668,29,Services,8,West,43.41,8.35,0.79,1.84,0.44,1.67,5.55,36,13.78,0,0,0.86,10.52,6.85,0
1669,43,Healthcare,6,North,107.13,7.64,0.87,1.99,0.37,2.99,5.8,60,20.05,0,0,0.69,1.77,11.3,0
1670,40,Retail,5,South,47.7,16.22,0.44,3.04,0.69,1.59,2.0,48,17.96,0,0,0.69,11.2,5.06,0
1671,32,Healthcare,5,South,93.16,26.28,0.8,3.13,0.55,1.05,2.0,36,17.01,0,15,0.91,1.0,9.39,1
1672,31,Retail,4,West,5.0,17.52,0.8,4.13,0.53,1.89,2.0,48,16.0,1,13,0.44,4.0,1.9,0
1673,31,Retail,1,West,5.0,12.42,0.9,0.72,0.63,1.33,7.24,24,15.68,0,7,0.62,7.13,5.77,0
1674,25,Healthcare,5,West,67.49,20.07,0.75,1.2,0.44,1.1,3.97,48,18.55,0,7,0.73,11.21,18.47,1
1675,51,Manufacturing,10,West,26.92,10.86,0.82,0.9,0.31,0.85,13.06,60,14.69,0,3,0.63,8.6,2.8,0
1676,31,Manufacturing,7,Central,49.29,8.99,0.68,1.65,0.8,1.43,15.03,48,19.31,0,0,0.81,1.0,7.64,0
1677,47,Manufacturing,6,Central,5.0,20.99,0.57,1.7,0.48,1.82,4.49,12,13.8,0,0,0.42,18.34,14.43,0
1678,50,Construction,0,West,5.0,19.96,0.7,0.26,0.24,1.83,4.05,12,14.0,0,11,0.67,5.08,8.95,1
1679,44,Services,8,West,50.43,9.84,0.69,6.54,0.56,0.95,17.88,60,13.95,0,11,0.84,14.66,6.24,1
1680,30,Manufacturing,7,South,35.47,18.24,0.75,3.32,0.51,1.98,15.66,36,14.51,0,0,0.79,6.62,5.75,0
1681,39,Construction,8,North,39.95,19.82,1.0,1.48,0.38,0.75,3.0,24,12.16,1,9,0.63,10.04,11.58,0
1682,34,Services,2,West,100.05,11.09,0.74,2.18,0.55,1.4,11.76,48,11.97,2,0,0.85,3.24,1.03,0
1683,25,Manufacturing,3,Central,64.29,12.99,0.71,2.91,0.44,1.69,15.76,12,18.29,1,3,0.84,21.31,8.47,1
1684,38,Retail,0,South,114.34,4.89,0.7,2.66,0.29,1.36,7.49,24,15.95,0,0,0.61,4.87,2.38,1
1685,23,Trading,0,East,52.27,11.93,0.77,1.73,0.26,1.29,10.15,36,17.88,1,8,0.67,6.14,17.54,1
1686,46,Manufacturing,3,Central,94.85,8.47,0.72,5.16,0.22,1.35,2.22,12,15.94,0,0,0.81,16.22,1.0,1
1687,30,Trading,6,East,79.5,10.77,0.73,3.11,0.69,1.85,8.27,24,14.03,0,0,0.78,5.28,5.12,0
1688,37,Manufacturing,3,East,34.83,4.11,0.68,2.92,0.61,1.15,15.54,12,14.74,0,11,0.59,12.75,1.0,0
1689,37,Retail,2,South,44.82,19.88,0.81,6.09,0.61,1.73,2.59,24,13.14,0,2,0.77,1.19,10.97,1
